fips_code,county_name,heart_disease_deathrate_per_100000
12131,"""Walton, (FL)""",442.9
12133,"""Washington, (FL)""",568.6
13001,"""Appling, (GA)""",588.9
13003,"""Atkinson, (GA)""",676.2
13005,"""Bacon, (GA)""",575.1
13007,"""Baker, (GA)""",572.4
13009,"""Baldwin, (GA)""",590.4
13011,"""Banks, (GA)""",452.0
13013,"""Barrow, (GA)""",489.8
13015,"""Bartow, (GA)""",489.2
13017,"""Ben Hill, (GA)""",531.1
13019,"""Berrien, (GA)""",600.7
13021,"""Bibb, (GA)""",665.6
13023,"""Bleckley, (GA)""",585.5
13025,"""Brantley, (GA)""",484.7
13027,"""Brooks, (GA)""",592.9
13029,"""Bryan, (GA)""",482.5
13031,"""Bulloch, (GA)""",491.7
13033,"""Burke, (GA)""",564.9
13035,"""Butts, (GA)""",508.5
13037,"""Calhoun, (GA)""",581.8
13039,"""Camden, (GA)""",638.7
13043,"""Candler, (GA)""",652.8
13045,"""Carroll, (GA)""",533.0
13047,"""Catoosa, (GA)""",469.1
13049,"""Charlton, (GA)""",576.1
13051,"""Chatham, (GA)""",480.7
13053,"""Chattahoochee, (GA)""",571.0
13055,"""Chattooga, (GA)""",600.6
13057,"""Cherokee, (GA)""",418.6
13059,"""Clarke, (GA)""",446.7
13061,"""Clay, (GA)""",633.5
13063,"""Clayton, (GA)""",529.9
13065,"""Clinch, (GA)""",658.4
13067,"""Cobb, (GA)""",375.3
13069,"""Coffee, (GA)""",541.8
13071,"""Colquitt, (GA)""",568.2
13073,"""Columbia, (GA)""",392.8
13075,"""Cook, (GA)""",605.5
13077,"""Coweta, (GA)""",449.0
13079,"""Crawford, (GA)""",552.5
13081,"""Crisp, (GA)""",604.4
13083,"""Dade, (GA)""",580.9
13085,"""Dawson, (GA)""",405.4
13087,"""Decatur, (GA)""",620.9
13089,"""DeKalb, (GA)""",401.8
13091,"""Dodge, (GA)""",656.8
13093,"""Dooly, (GA)""",503.3
13095,"""Dougherty, (GA)""",569.1
13097,"""Douglas, (GA)""",480.8
13099,"""Early, (GA)""",605.7
13101,"""Echols, (GA)""",562.5
13103,"""Effingham, (GA)""",507.5
13105,"""Elbert, (GA)""",549.1
13107,"""Emanuel, (GA)""",594.9
