fips_code,total_population,male,female,median_age,white_pop,african_american_pop,american_indian_pop,asian_pop,hawaiian_islander_pop,other_pop,hispanic_pop
12047,14728,8747,5981,38.4,8993,5112,39,58,0,252,14728
12049,27347,14962,12385,33.1,22546,2239,232,294,3,1714,27347
12051,38669,20813,17856,32.6,25727,5188,666,280,0,6377,38669
12053,172784,82597,90187,47.8,155885,9205,552,1935,67,2507,172784
12055,98734,48186,50548,51.4,83820,9190,542,1270,77,2181,98734
12057,1238365,604301,634064,36.1,908147,207092,6692,42249,995,38330,1238365
12059,19971,10656,9315,42.1,18111,1077,175,105,78,25,19971
12061,138203,66758,71445,48.9,120601,12313,185,1639,8,1457,138203
12063,49589,27240,22349,40.4,34192,12988,206,238,15,627,49589
12065,14564,7561,7003,43.6,8769,5376,30,12,10,191,14564
12067,8668,4917,3751,33.8,6994,1334,0,33,0,307,8668
12069,297995,144403,153592,45.7,249767,28631,986,5226,219,6673,297995
12071,624155,306462,317693,45.5,526198,50514,2496,9476,103,24665,624155
12073,276506,131436,145070,29.6,174433,83628,1070,8399,112,3017,276506
12075,40541,20041,20500,45.2,35253,3791,79,203,4,263,40541
12077,8300,5179,3121,38.2,6300,1316,115,66,0,221,8300
12079,19187,10087,9100,40.2,10866,7463,70,42,94,369,19187
12081,324834,157221,167613,45.6,271678,28052,780,5591,159,13113,324834
12083,331987,159268,172719,47.4,270917,41173,1261,4544,129,8629,331987
12085,146497,72303,74194,49.8,128266,8288,895,1374,33,5600,146497
12086,2512219,1217277,1294942,38.2,1881017,477618,3843,40005,779,73851,2512219
12087,73475,39243,34232,46.4,66362,4769,137,778,3,615,73475
12089,73303,35957,37346,43.1,66088,4949,142,628,25,383,73303
12091,183400,92159,91241,37.7,148726,16290,1068,5886,322,3339,183400
12093,39779,20998,18781,39.0,33833,3393,286,158,0,1503,39779
12095,1153795,568132,585663,33.7,752892,238585,3656,56129,1263,69884,1153795
12097,272355,133726,138629,35.4,204701,31134,670,7160,33,18925,272355
12099,1324085,641215,682870,43.5,1009367,229313,2436,31527,636,28128,1324085
12101,465276,226155,239121,43.8,416723,20425,1626,10165,374,5868,465276
12103,917389,440405,476984,46.3,765829,94304,2293,27673,786,8309,917389
12105,604562,296505,308057,39.8,475978,89051,1943,10100,269,15587,604562
12107,74224,36885,37339,43.2,57520,12212,254,487,58,2436,74224
12109,191495,93019,98476,42.2,171489,10158,380,3754,336,1447,191495
12111,278246,136049,142197,42.5,203117,52361,1328,4368,94,8645,278246
12113,153086,77370,75716,39.2,134013,7958,1114,3265,157,1129,153086
12115,380479,181497,198982,52.6,347224,17619,848,5125,118,3939,380479
12117,423389,205160,218229,38.3,341546,46044,1016,16382,308,6885,423389
12119,94240,48867,45373,63.0,82441,9198,270,718,54,811,94240
12121,42287,21462,20825,42.2,35519,4902,84,160,0,465,42287
12123,22561,12503,10058,41.2,17081,4821,144,152,39,64,22561
12125,15400,9912,5488,39.8,11435,3197,72,144,3,226,15400
12127,495581,241890,253691,45.3,407410,51487,1665,8006,244,17859,495581
12129,30449,16652,13797,39.5,25186,4246,165,183,0,152,30449
12131,55349,28333,27016,43.0,48450,3037,447,529,124,1513,55349
12133,24732,13317,11415,40.8,19760,3565,175,104,0,141,24732
13001,18279,9243,9036,38.8,13655,3563,25,138,12,833,18279
13003,8355,4181,4174,34.2,5499,1418,2,0,0,1241,8355
13005,11124,5497,5627,35.7,8608,1810,0,69,8,603,11124
13007,3483,1583,1900,41.9,1497,1981,0,0,0,0,3483
13009,46378,23226,23152,34.2,25696,19335,61,721,0,262,46378
13011,18250,9322,8928,38.2,17046,507,14,198,0,348,18250
13013,69136,34593,34543,33.6,55517,8396,128,2245,0,1451,69136
13015,99872,49331,50541,36.7,82548,10000,467,727,63,4593,99872
13017,17612,8516,9096,38.0,10546,6253,0,7,0,289,17612
13019,19131,9482,9649,37.9,16048,2126,12,38,0,470,19131
13021,155560,73194,82366,35.5,68053,80153,341,2522,93,1587,155560
13023,13009,6249,6760,38.7,8957,3666,11,267,0,84,13009
13025,18279,9168,9111,37.9,17389,750,25,72,0,0,18279
13027,16066,7838,8228,40.6,9550,5730,6,58,0,564,16066
13029,30616,15176,15440,36.1,24518,4247,71,491,0,278,30616
13031,70360,35030,35330,25.8,47002,19530,206,1050,0,1450,70360
13033,23242,11193,12049,35.5,11129,11588,16,30,0,233,23242
13035,23671,12624,11047,38.2,16604,6773,0,54,0,113,23671
13037,6581,3875,2706,38.8,2254,3937,33,40,0,267,6581
